Title,Service,Locations,Description,Features,Awards
Washington Headquarters Services,Interior Design/Architecture,"Dallas/Richmond/Washington, D.C.","HKS was awarded the contract for this design-build, mega-project more than a year after all previous Base Realignment and Closure projects, but it shared the same fixed completion date of Sept. 15, 2011. That meant the project team faced the steep challenge of designing, constructing and delivering nearly 2 million square feet of secure office space for Department of Defense agencies within 33 months.
Located at Mark Center, the Washington Headquarters Services complex is part of a 350-acre mixed-use campus in Alexandria, Virginia, 4 miles from the Pentagon. The project consists of all new, class A construction that allows for spacious nine-foot-four-inch ceilings in an open office environment. The buildings are modern and progressive in character, and a rich architectural precast and glass skin represents strength, stability and progressiveness. The complex is notable for its spectacular views of both Washington, D.C. and its natural campus setting. The building's technology was futureproofed as much as possible while providing major increases in efficiency. Energy saving features include occupancy sensors, a high-efficiency central chiller plant, demand-controlled ventilation and a dedicated outdoor air system with energy recovery wheels. LED lighting fixtures throughout the facility contribute significantly to a 30 percent reduction in energy consumption. Careful selection of low-flow faucets, shower heads and plumbing fixtures, along with zero-irrigation and drought-tolerant landscaping, reduces potable water usage by 45 percent. The project design also maximizes the use of visible green elements, including green roof designs for the Visitor's Center and Remote Inspection Facility, a bioswale for filtering stormwater runoff, and an extensive green screen that wraps the façade of one of the parking structures. To reduce transit emissions, the project features its own transportation center and limited on-site parking for about 60 percent of the overall population.
Washington Headquarters Services is considered a ‘mini-Pentagon,” or annex to the Pentagon. The $953 million Washington Headquarters Services houses more than 6,400 employees from 26 agencies and 170 sub-agencies in a 1.8 million-square-foot complex. Using a unique design-build process, the 30-month construction schedule was completed five weeks early and more than $50 million under budget. This is the first U.S. Army Corps project of this size to earn LEED Gold certification. Using modern strategies in environmentally sustainable construction and site development, the project mitigates its overall environmental impact by enabling energy efficiency, water savings, indoor environmental quality and sustainable site design. During construction, waste recycling practices diverted an estimated 6 million pounds of potable construction waste from landfills.","350-acre site
1,870,000-square foot building complex for 6,409 personnel
1,300,000-square foot parking structure
375 preferred-parking spots for carpools and hybrid vehicles.
Remote inspection facilities
Remote distribution facilities
Multimodal transit center
Visitor/reception center
LEED Gold certification","2011 NAOIP Award of Excellence
2011 Army Corps of Engineers Lean, Clean and Green Award
2011 ENR Southeast Award of Merit
2011 IIDA Mid-Atlantic Chapter Silver Award"
Four Seasons Hotel and Residences Denver,Architecture/Mixed-Use,Dallas/Denver/San Francisco,"Design a hotel that increases Four Seasons’ brand presence in downtown Denver and connect it to the city's vibrant art and sports scene.
An elegant tower defining downtown Denver's evolving skyline, the luxury hotel and private residences rises 45-stories, and at 614 feet it's the fourth-tallest building in Denver. The hotel provides guests and residents with high-end amenities, premier accommodations and condominiums strategically located in downtown Denver's central business corridor. It connects visitors and residents alike to the Denver Center for the Performing Arts, Union Station, Denver Pavilions, Pepsi Center, Coors Field and the Colorado Convention Center.
Completed in 2010, the Four Seasons Hotel Denver and Private Residences was at the forefront of the remarkable transformation redefining downtown Denver. The project created 1,000 jobs and is expected to have an impact of $100 million on Denver's economy within the first 10 years of operation.","45-stories
239-keys
102 condominium units
249-car, below-grade parking garage
Spa with 10 treatment rooms
Restaurant and lounges
Pool and fitness facilities
17,000 square-foot ballroom and meeting space","2011 ENR Mountain States, Best Multifamily Residential/Hospitality Project"
North Bethesda Market,Mixed-Use/Architecture/Interior Design/Urban Design/Sustainable Design,"Dallas/Washington, D.C.","Design a building in one of the most stylish areas of Maryland that will attract younger generations that desire a place where they can live, shop and be entertained.
HKS designers created a unique space that is engaging to young professionals who seek timely convenience in their lives. North Bethesda Market provides high-rise and midrise living quarters in a stylish development that includes a Whole Foods, retail space, an LA Fitness, easy access to light rail transportation and a public plaza for community events. In addition, the site offers several public spaces, on- and off-street bike trails, as well as streetscape improvements. Local stone and public art define the plaza and pedestrian connections link North Bethesda Market to surrounding offices. Developers also created a visual connection from the plaza to Rockville Pike.
The combination of these design choices creates a rich and varied public realm with easy access, upscale living and engaging entertainment options for the nearly 149,000 people who live within 3 miles of North Bethesda Market.","24 stories
220,000 square feet of retail
198 residential unit high-rise
200 residential unit midrise
1,220-car parking garage
On/off street bicycle trails
60,000 square foot Whole Foods Market",
Ahuja Medical Center,Architecture/Interior Design/Structural Engineering/Sustainable Design,"Washington, D.C./Richmond/Detroit/Dallas/New York","To design a community hospital that fits into Cleveland's expanding suburban setting and efficiently serves patients and caregivers from the day it opens through an expected 500 percent growth rate.
Ahuja Medical Center's modern exterior acknowledges the growing community it serves, particularly baby-boomers living in the eastern suburbs of Cleveland. It is organized around a flexible strategy for growth that allows the public and service spines to expand incrementally, with the ability to expand from its initial 144 beds up to 600 beds.
A seven-story, curved tower is easily visible from the freeway, while internal views frame adjoining wetlands. Inside, the hospital embraces a “community of care” philosophy, promoting the welfare of both patients and staff through improved efficiencies and safety.
Working with an art curator, HKS designers meticulously planned the installation of 250 original works of art, transcending patient-focused care to create “guest-focused care.”
With lots of natural light and materials, the hospital brings the outside in and makes it one with its natural surroundings. The facility incorporates the site's wetlands, bio swales and native plants. In addition, the bed tower is designed to take maximum advantage of passive solar energy.","375,000 square feet
60,000 square foot medical office building
144 beds (expandable to 600 beds)
42-acre site
1,042 parking spaces
Healing garden
LEED Silver certified","Design & Health International Academy, High Commendation Recognition for Use of Art in the Patient Environment
2008 AIA Modern Healthcare Design Competition - Honorable Mention, Unbuilt"
University of Texas MD Anderson Cancer Center Alkek Tower Expansion,Architecture/Interior Design/Advisory Services,Dallas/Houston,"To add 12 stories to an existing high-rise hospital without distractions for patients, families and hospital staff, while accommodating different hospital programming needs than when HKS designed the original building in the 1990s.
Even though HKS designed the original hospital with infrastructure for expansion, health care practices and technology had changed greatly in almost 20 years. For the expansion, we increased the building's footprint by cantilevering over the corners of the existing building, allowing space for bigger patient rooms that are on average 40 square feet larger than those below. We then added cantilevering on both sides of the rear staff corridor to add four patient rooms for a total of 48 beds on each patient floor. 
To address the challenge of having construction proceed atop an existing structure without creating distractions for patients their families and staff, a mechanical floor was created between the existing and new building to facilitate building systems operations and create a buffer between the upper and lower floors.
Finding a lighter exterior façade material that was an exact match to the existing exterior façade posed an interesting design dilemma. Glass Fiber Reinforced Concrete (GFRC) was the answer. GFRC, a precast system, creates a 1- to 1 ½-inch thick façade – versus the traditionally 7- to 9-inch precast concrete system – allowing less weight to be attached to the vertical structure. This enabled the team to add two more floors to the building.","500,000 square feet of new space
192 beds, with shell space for 192 additional beds
Improved staff and patient circulation
Improved wayfinding
8,000-square-foot enclosed observation deck","2017 The Center for Health Design, Silver Recognition Evidence Based Design Touchstone Award
2016 Architects Newspaper, Best of Design Awards)
2014 American Society of Health Care Engineering/American Hospital Association/AIA Academy of Architecture for Health, Vista Award Winner
2011 ENR Texas and Louisiana, Best Overall Project
2011 ENR Texas and Louisiana, Best Health Care Project"
AT&amp;T Stadium,Architecture/Urban Design/Interior Design/Branded Experiences,Dallas,"To craft a stadium that creatively embodies the proud history of the Dallas Cowboys while simultaneously giving the franchise the indelible look of the future.
Since its founding in 1960, the Dallas Cowboys have become one of the world's most renowned professional sports franchises. Nicknamed “America's Team,” the Cowboys’ former stadium was known for its iconic Ring of Honor and “hole” in the middle of the roof. Forward-thinking HKS architects incorporated those brand features into the Cowboys new home, AT&amp;T Stadium, designing a retractable roof and prominent interior space to honor stars of the past. But the stadium design also steps into the future with plush stadium seats and luxury boxes located at field level to enhance the stadium's 5-Star hotel feel. In addition, canted 800-foot glass walls span the length of the stadium and two powerful steel arches – the longest single-span arches in the world – support the structure's interior while framing its two end zone entry plazas.
AT&amp;T Stadium is more than simply a showcase for the Dallas Cowboys. It redefined what fans expect from an NFL gameday experience. It has the world's largest jumbotron, art worthy of a modern art museum, clubs and experiences that reset the benchmark for professional football fan experiences. AT&amp;T Stadium has hosted the 2017 CONCACAF Gold Cup, Super Bowl XLV in 2010, and the 2010 NBA All-Star Game. Beyond sporting events, the stadium hosts concerts ranging from U2 to Beyonce.",,
Estadio TSM Corona,Architecture/Urban Design,Dallas/Mexico City,"Designing a multifunctional, state-of-the art home for legendary Club Santos Laguna meant engaging all stakeholders in the design process, from club managers to fans. As one piece of a visionary master plan for Territorio Santos Modelo, the stadium design needed to be a cultural hub that represents the city's pride for the club, while celebrating the club's iconic owner, Grupo Modelo, brewer of Corona Beer.
The first stadium of its kind in Mexico, Estadio Corona uses vernacular materials to adapt high-performance design standards of state-of-the-art stadiums to the region's climate and the local culture. This 30,000-seat stadium is “the essence of the city” and the center of community life, not only on game days but year-round. Its complex program includes everything from a hall of fame, a clinic and soccer school, to classrooms for local students training for sports-related careers.
An instant favorite, the stadium was voted “Best Sports Project” and “People's Choice Favorite of the year&#8221; in Mexico by CNN Expansión. Estadio Corona made its international debut in the Youth World Cup in 2011 and was part of Mexico's bid for the 2018 World Cup. The field is on par with the top playing surfaces in Europe and has been considered one of the best in Mexico for speed and performance since its debut in 2009.","109 suites
Three exclusive clubs
2,000 club seats
Hall of Fame museum
Interactive zone
Restaurant and bar
Party deck
Training center
Six training fields
6,500 square foot executive offices
Public transportation plazas
4,800-car surface parking",
Lucas Oil Stadium,Architecture/Branded Experiences/Interior Design/Urban Design,Dallas,"HKS designers were challenged to design a multipurpose event facility filled with modern-day amenities and capabilities while maintaining the timeless, rustic look and feel of the Midwestern state the stadium calls home.
Drawing on architectural energy from the city's and state's rich heritage, the Lucas Oil Stadium design conjures a turn-of-the-century look for one of the most distinctive, multi-use mega-venues in the United States. The design incorporates many elements unique to Indiana and its history as a sports powerhouse. The brick, steel and glass structure reflect the traditional forms and historical feel of the state's venerable collegiate and high school basketball arenas and collegiate football stadiums. From an architectural standpoint, the facility is noteworthy for its retractable roof and seating bowl configuration that accentuate its distinct look and enhance its function. Huge retractable windows at the stadium's northeast side provide guests with a clear view of the Indianapolis skyline, a view enhanced by the designers’ decision to place the structure at an angle on the property toward the radial city center of Indianapolis. With the Indianapolis Convention Center just across the railroad tracks, HKS designed a unique 25-foot, clear-of-structure exhibit hall expansion hall on the north end of the stadium with removable/retractable seats allowing the stadium floor to become another 145,000 square-foot exhibit hall to compliment the convention center complex complete with convention floor boxes at 60 foot centers each way for utility services.
Since it opened in 2008, Lucas Oil Stadium hosts an average of 200-plus events a year, from small corporate meetings to large conventions to major sporting events. Those include home games for the NFL's Indianapolis Colts, a Super Bowl, the annual NFL Draft Combine, two NCAA Final Four tournaments and many major concerts.","Sits on 13 acres
1.8 million square feet
65,000 seats (football); 72,000 (NCAA basketball)
146 suites
7,000 club seats
Retractable roof
Moving windows","2009 ACEC, Grand Award for Excellence in Engineering
SportsBusinessJournal/SportsBusinessDaily, Sports Facility of the Year
Midwest Construction, Overall Project of the Year"
The Resort at Pedregal,Architecture/Urban Design,Dallas/Mexico City,"To create a low-density resort that harmonizes and enhances its environment. The resort presents as a village that grew out of the existing rugged mountain terrain situated at lands’ end, where the Pacific Ocean and the Sea of Cortez meet.
HKS designers chose indigenous materials and preserved the character of the rugged site. The low-scale buildings are a combination of strong stone walls, hand-hewn sand colored plaster, honey-colored wood latilla structures and wood window frames, with large glass installation that capture expansive views.
To accommodate the existing landscape, a passageway was carved through a mountain to reach the oceanfront beyond. Hotel guests drive through the passage to access the resort. Exiting the tunnel, guests are greeted with a stunning, unobstructed ocean view framed by the arrival buildings.",,
American Airlines Center,Architecture/Branded Experiences/Interior Design/Urban Design/Mixed-Use,Dallas,"To design a multipurpose arena that allows the venue to be reconfigured from NBA basketball and NHL hockey to maximize revenues while providing luxurious amenities for basketball and hockey fans as well as concert goers.
HKS designers delivered a 20,000-seat arena that can be converted from basketball to hockey within two hours or less, which allows the NBA's Dallas Mavericks and the NHL's Dallas Stars to play home games on the same day. The flexibility of the American Airlines Center (AAC) is also one of the country's’ top concert venues. The $218 million facility includes three premium levels with 110 private suites, upscale restaurants, lounges and outdoor environments. The AAC was the first arena in the NBA or NHL to install a 1080 high-definition video system.
The interior of the structure competes with music halls or museums with terrazzo floors that incorporate artist panels, natural light through the four main entry lobbies and a five-level seating bowl with unique features at each end that generate revenue.
Since opening in 2001, the AAC has hosted an NBA Finals; the NCAA Division I Men's basketball tournament; the NCAA Division I Women's Final Four; the NHL All-Star Game; a host of A-list entertainers and other sporting and entertainment events. In 2015, Billboard Magazine named the AAC the fifth-busiest arena in the United States and 10th-busiest in the world.","Private clubs and premium lounges
Retractable seating
110 suites
240 food and beverage service points
2,004-car parking garage
10,000 square feet of meeting space","2007 AIA Award, Top 150 America’s Favorite Architecture
2003 Society of American Registered Architects, Design of Merit Award
2002 American Council of Engineering Companies, Engineering Excellence Award"
Phoenix Sky Harbor International Airport Rental Car Center,Architecture/Alternative Project Delivery,Dallas/Phoenix,"HKS was tasked with creating a consolidated car rental facility (CONRAC), at Phoenix Sky Harbor International Airport. With sustainability and a convenient, seamless experience in mind, the facility needed to bring 16 different car agencies under a single roof to better serve the third-largest car rental market in the United States.
Customer-facing services are each housed in separate bays of a grand 150,000 square foot customer service building that consolidates storage and back-of-house services in a 7,200-space, multi-level rental car facility.
Open space abounds, allowing for lines to form and for large groups to congregate, giving the lobby the feeling of a small airport. The exterior expresses itself as a slab of weathered stone, carved from the existing desert rock by years of erosion. The canopy recalls a desert wash while skylights control the light like a deep rock shaft. 
A fleet of 55 energy efficient buses provide transportation to and from the airport terminal, minimizing traffic, pollution, and wait times.
The HKS design team, in association with our partners, TranSystems, engaged city agencies, arts and cultural experts, airlines and community members to ensure convenient planning and a positive contribution to the community.
Phoenix Sky Harbor International Airport became home to the nation's largest CONRAC when the new facility was completed in 2005. It is equivalent in size to 103 football fields and houses all of the airport-based rental car companies and their operations.","141 acres
16 rental car companies
2.55 million square feet
150,000 square foot customer service building
7,200 ready-return spaces
Integrated automated people mover","2003 AIA San Mateo County, California, Merit Award"
DFW International Airport Terminal D,Architecture/Branded Experiences/Urban Design,Dallas,"To position DFW International Airport as a leading international airport by creating a Dallas/Fort Worth-branded terminal with modern amenities and flexibility to accommodate future technologies and concessions offerings.
In one of the industry's first &#8220;Big Rooms,&#8221; the entire project team worked collaboratively to design a terminal that would evolve and adapt to needs, trends and regulations over time. 
The 2.1 million-square-foot, $1.2 billion DFW International Airport Terminal D program opened in 2005 as one of the first newly constructed terminals after September 11th. Yet passengers don&#8217;t notice the embedded security features that address post-9/11 security requirements because they&#8217;re seamlessly integrated into the design.
The designers went even further with Terminal D by ensuring it remained responsive and anticipatory to industry changes, additions and adaptations, allowing the terminal to remain at the fore of responsive aviation design.
Terminal D conveys a timeless environment and regional gateway that is adaptable to the constantly changing demands of revenue development and new technologies.  HKS, as managing architect and design collaborator, was responsible for the overall execution of the project which included the terminal with retail, national and regional food and beverage offerings; premium lounges; a fully-integrated Grand Hyatt hotel and a new central utility plant, an 8,100-car parking garage, a connecting Skybridge to Terminal C and roadway improvements. 
DFW's Terminal D was designed in collaboration with HTNB and Corgan.
According to The Perryman Group, an economic and financial analysis firm, DFW International Airport Terminal D has a current $37 billion annual economic impact to the North Texas region.","28 swing gates
300-room Grand Hyatt Hotel
Integrated automated people mover (Skylink)
8,100-car parking garage
Federal Inspection Services facility
Integrated art program","2009 Texas Society of Architects, Design Award (Built)
2005 Dallas/Fort Worth Small & Emerging Business Development, Excellence in Diversity Award
2005 Dallas Mayor’s Committee for the Employment of People with Disabilities, Innovator Award
2005 American Foundation for the Blind, Access Award"
Parker Adventist Hospital,Architecture/Interior Design/Structural Engineering/Advisory Services,Dallas,"Population growth drove the need for a full-service acute care facility, while the context of the surrounding mountains set the scene for more inviting and natural elements. The HKS design team was tasked with striking a balance between the need for technical and patient space, and the community's desire for connection with the outdoors.
A lodge-like design mirrors the majestic mountains of Colorado. Three story chimneys and large and locally-sourced wood and stone finishes reflect an emphasis on verticality and scale and offer spacious and non-institutional atmosphere for this growing community.
The exterior and interior materials selection and design elements exemplify local vernaculars. The ideas of the mountains being majestic and stable inspired the team to explore an entry element that accentuated vertically.
The hospital offers emergency/trauma care, cardiac services, surgical services, intensive care, diagnostic imaging, a birthing center with NICU and a partnership with The Children's Hospital for specialized pediatric care.
The design accommodates more growth by keeping administrative functions in an adjacent 85,000 square foot medical office building. Flexibly planned medical facilities allow for departmental shifts to occur without disrupting the day-to-day care of patients. The patient wing is configured so that 75 percent of the rooms have views of prominent mountain peaks.
Douglas County is one of the fastest growing communities in the United States. Centura Health and HKS teamed to meet the needs of this growth by providing comprehensive and compassionate health care through the design of the 271,000-square-foot Parker Adventist Hospital.","271,000 square feet
40 acres
101 beds (can expand to 400 beds)
20,300 square foot emergency department
Four pediatric observation rooms
Three-story fireplace","2005 AIA Dallas, Juror Commendation
2004 AIA Mondern Healthcare Design Competition, The Award of Excellence
2004 Symposium on Healthcare Design, Symposium Distinction Award
2004 Colorado Construction, Gold Hard Hat Award
2004 Center for Healthcare Design Citation of Merit
2003 Symposium on Healthcare Design, Symposium Distinction Award"
