Titles,Location,Client,Type,Info,Leader,Introduction
McGill University Health Centre,"Montreal, QC",McGill University,"Architecture
BIM / 3D Visualization
Education
Environmental Assessment
Green
Healthcare
Healthcare+
Interiors
Master Planning
Oncology
P3
Planning &amp; Urban Design","LEED: Gold
Status: Ongoing","Marsha Bousquet: Associate Director | Practice Lead, P3","IBI Group led the building architecture and master planning efforts of this ambitious project to regroup five McGill University Health Centre (MUHC) institutions at Glen Campus: the Montreal Children's Hospital, the Royal Victoria Hospital, the Cancer Centre, the Research Institute, and the Montreal Chest Institute. "
Metrolinx Mobility Hub Guidelines,"Greater Toronto and Hamilton Area, ON",Metrolinx,"Mobility Hub
Planning &amp; Urban Design
Policy &amp; Design Guidelines
Public Outreach
Transportation",Completed: 2012,"Trevor McIntyre: Regional Director, UK/Ireland & International
Ashish Ghate: Director | Sr. Practice Lead, Urban Design / Planning","IBI Group was retained by Metrolinx to further ""The BIG Move"" initiative and develop a planning framework to shape the development of 50 mobility hubs identified in the Greater Toronto and Hamilton Area Regional Transportation Plan."
Sistema de peaje Guadalajara-Colima,"Guadalajara, México",Banobras (propietario) y Aldesa/Marhnos (operador),"Ingresos
P3
Peajes","Completado: 2014
Contrato: 10 años
Carriles: 46",,"IBI Group suministró e instaló un sistema de punta para el cobro de peaje electrónico (ETC, por sus siglas en inglés), diseñado para la carretera Guadalajara-Colima e inaugurado en el verano de 2014"
MOUD TOD NMT Bikeshare Guidelines,"Country-wide, India","Ministry of Urban Development, Government of India","Active Transportation
Land Use Planning
Mobility+
Planning &amp; Urban Design
Policy &amp; Design Guidelines
Transit Planning",Completed: 2016,"Ashish Ghate: Director | Sr. Practice Lead, Urban Design / Planning","The Ministry of Urban Development (MoUD) and the Government of India, supported by the Global Environment Facility, World Bank, and UNDP, retained IBI Group to develop national-level guidance documents for Transit Oriented Development (TOD), Non-Motorized Transportation (NMT), and Public Bicycle Sharing (PBS) Schemes."
Public Realm Strategy – Abu Dhabi Island / Mainland and Al Ain,"Abu Dhabi, UAE",Abu Dhabi Urban Planning Council,"Landscape Architecture
Planning &amp; Urban Design
Public Outreach",,"Trevor McIntyre: Regional Director, UK/Ireland & International
Ashish Ghate: Director | Sr. Practice Lead, Urban Design / Planning","IBI Group, in association with Peter J. Smith Associates, was retained by the Urban Planning Council, Abu Dhabi to develop the Public Realm Design Manual (PRDM). The PRDM is an essential, Emirate-wide planning tool that takes a comprehensive approach to help build world-class communities and a public realm that meets the needs of the people of Abu Dhabi."
West Harbour GO Station,"Hamilton, ON",Metrolinx,"Approvals
Architecture
Civil Engineering
Electrical Engineering
Engineering
Environmental Assessment
Implementation/Construction Phase Services
Interiors
Landscape Architecture
Mechanical Engineering
Mobility+
Planning &amp; Urban Design
Structural Engineering
Systems Engineering","Size: 73,200 sq ft
Status: Ongoing","Chuck Beamish: Director | Sr. Practice Lead, Architecture
Mark Bendix: Director | Office Lead","As an entrance to the City of Hamilton, West Harbour GO Station forms part of Metrolinx's plan to expand service to the Hamilton and Niagara Falls area along the Lakeshore West corridor. This project was initiated as part of the expansion plan for Niagara, to provide special train service for select Pan Am events in Hamilton, to support growth and to meet future ridership demands for Hamilton and the surrounding area."
London 2012 Summer Olympic Games,"London, UK","Olympic Delivery Authority, Transport for London","Landmark Events
Operations
Planning &amp; Urban Design
Project / Programme Management
Public Outreach
Spatial Intelligence
Strategic Planning
Systems",Completed: 2013,"Duncan Elder: Director - UK Solutions Lead, Intelligence
Andrea Lendak: Associate Director - Practice Lead, Intelligent Systems","Beginning in 2005, IBI Group was retained to help London win the rights to host the 2012 Games, by showcasing the future of the transport system. When London was awarded the Games, IBI Group helped London ""Get Ahead of the Games”, by delivering the complex and high-profile traveller information services work stream from strategy through design, and into implementation and operation as part of the critical Travel Demand Management (TDM) programme.  "
Valley Line LRT,"Edmonton, AB","TransEd Partners, City of Edmonton","Architecture
BIM / 3D Visualization
Green
Landscape Architecture
Master Planning
Mobility+
Planning &amp; Urban Design
Traffic Signals Design","Length: 13.1 km
Status: Ongoing","Bruno Peters: Deputy Regional Director, Canada West","A $1.8 billion undertaking, the Valley Line LRT will dramatically improve commute times and the overall public transport experience for Edmontonians. Part of an international design team for Stage One of the project, this stage extends 13.1 km from downtown to the Mill Woods Town Centre in Edmonton. "
Central Region COMPASS Transportation Management Centre,"Toronto, ON",Ontario Ministry of Transportation (MTO),"Mobility+
Operations
Operations Centre
Policy &amp; Design Guidelines
Systems
Systems Engineering
Systems Integration","Size: 78,000 sq ft
Completed: 2014","Kevin Bebenek: Regional Director, Canada East
Anna Dybka: Director | Sr. Practice Lead, Intelligent Systems
Ian Nelson: Associate Director | Practice Lead, Communication Systems","Seamlessly amalgamating two former traffic management centres located in Toronto and Burlington, the MTO's Central Region COMPASS Transportation Management Centre (CRCTMC) monitors traffic in the Greater Toronto Hamilton Area. "
88 Queen Street East,"Toronto, ON",Lee Developments,"Architecture
High Rise Residential
Living+
Mixed Use
Residential
Rezoning and Approvals",,"Mansoor Kazerouni: Global Director, Buildings | IBI Living+
Dusica Pavlovic: Associate Director | Practice Lead, Architecture","88 Queen Street East a master-planned, multi-tower, urban, mixed-use development that integrates residential living with vibrant street retail, restaurants, food boutiques, and a 130-room boutique hotel, in a unique setting that will serve to enrich Toronto's dense and family-oriented Queen East neighbourhood."
Kidderminster Town Centre Public Realm,"Kidderminster, UK",Wyre Forest District Council,"Bridges, Roads &amp; Highways
Heritage / Historic Preservation
Landscape Architecture
Living+
Mobility+
Placemaking
Policy &amp; Design Guidelines","Size: 7,500 m2
Completion: 2016",David McKenna: Studio Associate Director,"IBI Group led the redevelopment of Kidderminster Town Centre's public realm framework, followed by the design and delivery of Phase 1 including Exchange Place, a pedestrian-priority public square in front of Kidderminster Town Hall. Rich with culture and history, the IBI team integrated aspects of Kidderminster's rock music heritage and historic significance in transforming the town centre."
Liberty Village,"Toronto, ON","City of Toronto, Can Alfa Liberty Village Homes, CN Rail","Architecture
Bridges, Roads &amp; Highways
Civil Engineering
Engineering
Heritage / Historic Preservation
High Rise Residential
Land Use Planning
Landscape Architecture
Low Rise Residential
Master Planning
Mixed Use
Municipal Services
Parks
Placemaking
Planning &amp; Urban Design
Residential
Site Development
Water Resources Management","Area: 45 acres
Status: Ongoing","Trevor McIntyre: Regional Director, UK/Ireland & International
David Hastings: Director | Sr. Practice Lead, Architecture","Working with developers Can Alfa and the City of Toronto, IBI Group have transformed this 45-acre, vacant industrial brownfield site and home of a former prison, to one of the densest and most desirable neighbourhoods in Toronto within the span of a few decades. With access to several major transportation arteries, residents in Liberty Village enjoy a uniquely walkable, mixed-use community complete with parks, plazas and a plethora of amenities. "
Tameside Hospital Macmillan Cancer Unit,"Tameside, UK","Macmillan Cancer Support, Tameside and Glossop Integrated Care NHS Foundation Trust","Approvals
Architecture
Healthcare+
Implementation/Construction Phase Services
Interiors
Project / Programme Management","Size: 580 m2
Completed: 2017",Sue Chadwick: Studio Director,"Focusing on the patient journey, the Tameside Hospital Macmillan Cancer Unit provides oncology treatment and a cancer information and support centre serving the Tameside and Glossop region of north west England. IBI Group, working with Macmillan Cancer Support, the hospital team and an appointed artist, was able to take a holistic design approach, integrating interiors, landscaping and art into the fabric of the Unit in order to create a tranquil and reassuring environment."
Ottawa Confederation Line LRT,"Ottawa, ON",Rideau Transit Group,"Architecture
Landscape Architecture
Light Rail Transit
Mobility+
P3
Planning &amp; Urban Design
Transit Facilities
Transit Management
Transportation","Length: 12.5 km
Status: Ongoing","Charlie Hoang: Director | Sr. Practice Lead, Transit Architecture
Guillaume Chan: Associate Director - Practice Lead, Architecture
Danielle Sernoskie: Associate | Manager, Architecture","IBI Group has been working on the largest infrastructure project in Ottawa's history, the Ottawa LRT Confederation Line. As the lead architect for the underground portion of the project, we have designed three, iconic underground transit stations located beneath the downtown core of the city, offering world-class transit architecture with the highest quality standard of design. "
Bolton One Wellbeing Centre,"Bolton, UK","Eric Wright Group for Bolton Rochdale Heywood and Middleton LIFT, NHS Bolton, University of Bolton, Bolton Council","Architecture
BIM / 3D Visualization
Civic &amp; Government
Community / Recreational Facilities
Education
Green
Healthcare
Healthcare+
Higher Education
Interiors
Landscape Architecture
Mixed Use
Parking
Placemaking
Project / Programme Management
Research &amp; Development
Stadium / Athletic Facilities","BREEAM: Excellent
Area: 13,250 m2
Completion: 2012","Justin Harris: Studio Principal
John Knape: Frameworks Director","Bolton One Wellbeing Centre is a healthcare, leisure and research centre that combines a range of facilities in a single, integrated complex. As Lead Consultant and Architect, IBI Group designed the building around its integrated functionality to serve the needs of three key organisations brought together under one roof. "
One Empire Pass,"Park City, UT",East West Partners,"Architecture
BIM / 3D Visualization
Hospitality
Hotels &amp; Resorts
Land Use Planning
Landscape Architecture
Living+
Master Planning
Planning &amp; Urban Design
Policy &amp; Design Guidelines
Project / Programme Management
Residential","Storeys: 7
Status: Ongoing","Peter Pillman: Director | US Mixed-Use Lead, Buildings
Joseph Geroux: Associate Director | Principal, Mixed-Use","One Empire Pass is a 27-unit, ski-in/ski-out, luxury condominium lodge in the Village at Empire Pass in Deer Valley Resort, Utah. Providing modern comfort and amenities, One Empire Pass is a unique, family-friendly destination offering private 3- and 4-bedroom residences with some of the best views Deer Valley has to offer. "
Toronto-York Spadina Subway Extension: Finch West Subway Station,"Toronto, ON",Toronto Transit Commission,"Architecture
BIM / 3D Visualization
Light Rail Transit
Mobility Hub
Mobility+
Parking
Placemaking
Planning &amp; Urban Design
TOD
Transit Facilities
Transportation","Size: 11,165 m2
Status: Ongoing","Charlie Hoang: Director | Sr. Practice Lead, Transit Architecture","Poised for completion this December, Finch West and Pioneer Village Stations are part of the TTC's six-station Toronto-York Spadina Subway Extension (TYSSE). The TYSSE is an 8.6km, $3.18 billion extension of the Yonge-University-Spadina Subway Line from (the former) Downsview Station to Vaughan. "
Toronto-York Spadina Subway Extension: Pioneer Village Subway Station,"Toronto, ON",Toronto Transit Commission (TTC),"Architecture
BIM / 3D Visualization
Light Rail Transit
Mobility Hub
Mobility+
Parking
Placemaking
Planning &amp; Urban Design
TOD
Transit Facilities
Transportation","Size: 16,300 sq m
Status: Ongoing","Charlie Hoang: Director | Sr. Practice Lead, Transit Architecture","Poised for completion this December, Finch West and Pioneer Village Stations are part of the TTC's six-station Toronto-York Spadina Subway Extension (TYSSE). The TYSSE is an 8.6km, $3.18 billion extension of the Yonge-University-Spadina Subway Line from (the former) Downsview Station to Vaughan. "
Wrightington Hospital,"Lancashire, UK",Wrightington Wigan and Leigh NHS Foundation Trust,"Acute Care
Architecture
BIM / 3D Visualization
Healthcare
Healthcare+","BREEAM: 'Very Good'
Area: 4,650 m2
Phase 1 Completion: 2015",Neil Evans: Studio Principal,As part of a 20-year masterplan for the redevelopment of the hospital – prepared by IBI Group in collaboration with the NHS Trust and the local planning authority – the practice has delivered a facility that is a centre of excellence in orthopaedic surgery. 
Sir Robert Ogden Macmillan Cancer Centre,"Harrogate, UK",Macmillan Cancer Support/Harrogate and District NHS Foundation Trust,"Acute Care
Architecture
BIM / 3D Visualization
Green
Healthcare
Healthcare+
Interiors
Landscape Architecture
Oncology
Project / Programme Management","BREEAM: Excellent
Size: 1,266 m2
Completion: 2013",John Knape: Frameworks Director,"The Sir Robert Ogden Macmillan Cancer Centre is an Outpatient Oncology Centre designed around a clearly-defined patient journey. The IBI design team worked closely with groups of patients and staff, focused on making the Centre a profoundly special place that the local community can cherish."
Woodland View,"Ayrshire, UK",Ayrshire and Arran NHS Health Board/ Balfour Beatty Investments,"Ambulatory Care
Architecture
BIM / 3D Visualization
Energy
Environmental Assessment
Green
Healthcare
Healthcare+
Interiors
Landscape Architecture
Master Planning
Mental Health Care
Planning &amp; Urban Design
Project / Programme Management
Solar
Spiritual Places
Wayfinding &amp; Signage","BREEAM: 'Very good'
Size: 16,100 m2
Completion: 2016",Emma White: Studio Principal,"IBI Group provided Architectural, Interior Design and Landscape Architectural services for Woodland View, an Acute Mental Health and Community Facility. The 206-bed facility is focused on delivering inpatient and outpatient mental health services for adults and older people, including rehabilitation, continuing care, addictions, forensics, and intensive psychiatric care."
Port Imperial Ferry Terminal,"Weehawken, NJ",New Jersey Transit and New York Waterway,"Approvals
Architecture
Environmental Assessment
Green
Implementation/Construction Phase Services
Interiors
Mobility+
P3
Planning &amp; Urban Design
Ports
Terminals
Transportation","Size: 33,000 sq ft
Storys: 2
Completion: 2006",,"Port Imperial Ferry Terminal is a key component in the development of the Hudson River Ferry Service, linking the growing city of New Jersey's waterfront with Manhattan. IBI Group provided architectural services for the 33,000 sq. ft. intermodal terminal, designed to accommodate approximately 20,000 commuters each day. "
Optegra Eye Hospital,"London, UK",Optegra UK Limited,"Architecture
Healthcare+
Interiors","Size: 1,350 sq m
Storeys: 6
Completion: 2016","Denise Medcraff: Studio Principal
Pip Burrows: Interior Designer","Specialist provider of ophthalmic services and a pioneer in eye health care, Optegra approached IBI in 2013 to design its flagship hospital in the prestigious Harley Street area of London. IBI's architectural and interior design solution transformed two heritage buildings to create a world-class healthcare environment, offering a full range of patient services within a single integrated facility."
Franklin High School Modernization,"Portland, OR",Portland Public Schools,"Education
Implementation/Construction Phase Services
K-12 Education
Learning+","Size: 140,000 sq ft
Storeys: 2
Completion: 2017","Rachel DeWitt: Associate Director, Sub-Sector Lead
Jonathan Steel: Associate Director | Office Lead, Portland","IBI Group designed the master plan for the modernization of Franklin High School, integrating next generation learning environments with state-of-the-art career and technical education facilities."
EKPPT Greece Toll System,"Elefsina-Korinthos-Patra-Pyrgos-Tsakona, Greece",Apion Kleos JV,"Approvals
Bridges, Roads &amp; Highways
Civil Infrastructure
Implementation/Construction Phase Services
Mobility+
Operations
Project / Programme Management
Revenue / Tolling
Systems
Transportation",,"Antulio Richetta: Director, Eastern Europe","IBI Group has been a key contributor in providing the tolling and motorway management systems for a major motorway project in Greece, The Elefsina-Korinthos-Patra-Pyrgos-Tsakona (EKPPT) Motorway. The IBI team was responsible for the design, deployment and integration of the Motorway Management System and the turnkey provision of the EKPPT Motorway Toll Collection System. "
Trafford Waters,"Manchester, UK",Peel Land and Property,"Architecture
BIM / 3D Visualization
Education
Green
Landscape Architecture
Living+
Master Planning
Mixed Use
Planning &amp; Urban Design
Residential
Retail","Homes: 3,000
Commercial space: 1 million sq ft
Site: 26 ha
Status: Ongoing",Guy Pearson: Studio Director,"IBI Group is working with Peel Land and Property to deliver a new, high density community on the banks of the Manchester Ship Canal. A genuine mixed use development with residential, employment, education and ancillary components, Trafford Waters will complement the wider Greater Manchester offer and create a significant boost for the economy."
John Street Roundhouse,"Toronto, ON","Toronto Hydro, State Building Group & City of Toronto","Approvals
Architecture
Civil Engineering
Electrical Engineering
Engineering
Environmental Assessment
Information &amp; Communications Technology
Landscape Architecture
Mechanical Engineering
Planning &amp; Urban Design
Structural Engineering
Systems Engineering","Size: 119,996 sq ft
Status: Ongoing","Trevor McIntyre: Regional Director, UK/Ireland & International","Critical to powering the ever-expanding energy needs of the GTA, Copeland Transformer Station is nestled underneath heritage train superstructure John Street Roundhouse in the busiest area of downtown Toronto. "
Copeland Transformer Station,"Toronto, ON","Toronto Hydro, State Building Group & City of Toronto","Approvals
Architecture
Civil Engineering
Electrical Engineering
Engineering
Environmental Assessment
Information &amp; Communications Technology
Landscape Architecture
Mechanical Engineering
Planning &amp; Urban Design
Structural Engineering
Systems Engineering","Size: 100,000 sq ft","Alexandre Haddad: Director | Sr. Practice Lead, Civic/Industrial Buildings","Critical to powering the ever-expanding energy needs of the GTA, Copeland Transformer Station is nestled underneath heritage train superstructure John Street Roundhouse in the busiest area of downtown Toronto. "
One Burrard Place,"Vancouver, BC",Reliance Holdings Ltd./ Jim Pattison Developments Ltd.,"Architecture
BIM / 3D Visualization
Green
High Rise Residential
Living+
Mixed Use
Office
Residential
Retail","LEED: Gold
Storeys: 54
Status: Ongoing","Gwyn Vose: Director | Sr. Practice Lead, Architecture
Martin Bruckner: Director, Architect","This iconic tower – part of a three-building, mixed-use complex – marks a key entrance point to Vancouver's Downtown as residents and visitors alike make the approach over the Burrard Bridge. Representing the city's new style of dynamic, integrated urban living, the LEED Gold high-rise boasts an impressive suite of amenities and stunning views of the city, the mountains, and Burrard Inlet."
Guadalajara-Colima Toll System,"Guadalajara, Mexico",Banobras (Owner) & Aldesa/Marhnos (Operator),"Mobility+
Operations
P3
Planning &amp; Urban Design
Revenue / Tolling
Systems","Completed: 2014
Contract: 10 year
Lanes: 46","Rahul Mehra: Associate Director | Practice Lead, Intelligent Systems
Bernardo Ortiz: Director, Latin America","Opened in the summer of 2014, IBI Group supplied and installed a state-of-the-art Electronic Toll Collection (ETC) system designed for the Guadalajara-Colima Highway.  "
Queen Elizabeth University & Royal Hospital For Children,"Glasgow, UK","Brookfield Construction, NHS Greater Glasgow and Clyde Board","Acute Care
Architecture
BIM / 3D Visualization
Green
Healthcare+
Interiors
Master Planning
Pediatrics
Planning &amp; Urban Design
Project / Programme Management","BREEAM: Excellent
Size: 170,000 m2
Completion: 2015","Emma White: Studio Principal
Graham Harris: Studio Principal","At 170,000 square metres, this ‘super hospital' is not only one of the largest healthcare developments ever commissioned in the UK, providing over 1,300 beds and one of the largest emergency departments in Scotland, but also a bold addition to the Glasgow skyline and a catalyst for wider economic and social regeneration."
L.A. First Last Mile Metro Planning,"Los Angeles, CA",LA County Metropolitan Transportation Authority,"Active Transportation
Environmental Assessment
Green
Mobility+
Multi-Modal Transportation
Planning &amp; Urban Design
Policy &amp; Design Guidelines
Public Outreach
Spatial Intelligence
Transit Management
Transportation",Completion: 2015,David Chow: Director | US P3 and Mobility+ Lead,"Working alongside the L.A. County Metropolitan Transportation Authority and the Southern California Association of Governments, IBI Group helped establish the first of its kind and award winning physically active network-based strategy for improving station access and ridership throughout the Los Angeles county — with special focus on the first & last mile of a rider's journey."
Delta Toronto Hotel,"Toronto, ON",GWL Realty Advisors,"Approvals
Architecture
Green
High Rise Residential
Hospitality
Hotels &amp; Resorts
Living+
Mixed Use
Office
Residential","LEED: Gold
Completed: 2014","Mansoor Kazerouni: Global Director, Buildings | IBI Living+
Jonathan Berg: Associate | Manager, Architecture","Completed in 2014, this flagship Delta Hotel became the tallest free standing hotel built in Toronto's downtown core in the last 20 years. Soaring above the city's transformative skyline at 160 metres, this signature mixed-used high-rise is facilitating world class hospitality and urban access in the heart of the city's entertainment and financial districts. "
Cardiff University Brain Research Imaging Centre,"Cardiff, UK",Cardiff University,"Architecture
BIM / 3D Visualization
Education
Green
Healthcare+
Higher Education
Interiors
Learning+
Oncology","BREEAM®: Excellent
Completion: 2015",Richard Golledge: Studio Director,"Opened in the Spring of 2016, The Cardiff University Brain Research Imaging Centre (CUBRIC) is the second phase of the Science & Innovation Campus at Maindy Road: a new home for world-class research, bringing together experts in brain mapping and neuroscience inside a highly collaborative, energy-efficient environment. The project follows the completion of Phase 1; the IBI Group designed flagship Hadyn Ellis Building."
Los Angeles Civic Center Master Planning,"Los Angeles, CA",City of Los Angeles,"Architecture
Civic &amp; Government
Landscape Architecture
Master Planning
Mobility+
New Projects
Spatial Intelligence","Area: 3 million+ sq ft
Status: Ongoing","Kirk Shimazu: Associate Director | US Civic Lead, Buildings
Trevor McIntyre: Regional Director, UK/Ireland & International
Gary Andrishak: Director","Our master development plan presented a holistic vision for a vibrant mixed-use community uniting municipal, cultural, retail and residential facilities in the heart of downtown Los Angeles, California."
Sheffield/Rotherham Advanced Manufacturing Innovation District,"Sheffield, UK",Peel Group and Harworth plc,"Education
Industrial
Innovation Districts
Living+
Manufacturing
New Projects
Placemaking
Policy &amp; Design Guidelines
Retail
Spatial Intelligence",,Guy Pearson: Studio Director,IBI Group led a team of planning and transportation consultants in developing a vision for the development of an Innovation District anchored around Sheffield and Rotherham's Advanced Manufacturing Park.
Gilmore Place,"Burnaby, BC",Onni Group of Companies,"Architecture
High Rise Residential
Living+
Master Planning
Mixed Use
New Projects
Placemaking
Planning &amp; Urban Design
Retail
Transportation Planning","Area: 12 Acres
Master Plan Completed: 2017
Architecture Status: Ongoing","Martin Bruckner: Director, Architect
Stuart Jones: Director, Landscape Architect","IBI Group provided master planning and architecture services for the design of Gilmore Place, a mixed-use TOD community set to establish a new level of urban design in Burnaby, BC."
New York 511,"New York, NY",New York Department of Transportation,"New Projects
Software as a Service
Systems
Transit Alerts
TravelIQ
Traveller Information",Status: Ongoing,"Derek Sims: Global Director, Intelligence
Geoff Carter: Director | Sr. Practice Lead, Traveller Information Systems
Larry Baldwin: Associate Director - Practice Lead, Intelligent Systems","IBI Group has designed a state-of-the-art traffic system that provides users within the state of New York with real-time traffic reports on the web, phone or their mobile devices. "
Eglinton Crosstown LRT,"Toronto, ON",Metrolinx / Infrastructure Ontario; Crosslinx Transit Solutions,"Active Transportation
Architecture
Engineering
Landscape Architecture
Light Rail Transit
Mobility+
Planning &amp; Urban Design
Policy &amp; Design Guidelines
Terminals
TOD
Transit Facilities
Transportation","Corridor: 19.5 km
Stations: 15
Stops: 10
Interchange stations: 3
MSF: 1","Charlie Hoang: Director | Sr. Practice Lead, Transit Architecture
Trevor McIntyre: Regional Director, UK/Ireland & International
Fouad Mustafa: Director, New Initiatives","The ECLRT is Toronto's most significant transit expansion in decades, spanning the entire city across 19.5 kilometres of above and below ground track. When finished, the new line will connect five boroughs via multi-modal stations."
MBTA-Realtime,"Boston, MA",Massachusetts Bay Transportation Authority,"Implementation/Construction Phase Services
Information &amp; Communications Technology
Operations
Project / Programme Management
Software as a Service
Systems
Transportation",Status: Ongoing,"Carl-Henry Piel: Director | US Services Lead, Intelligence
Ritesh Warade: Director | US Operations Lead, Intelligence","IBI Group led the design, development and implementation of the MBTA-realtime system to manage service alerts, vehicle locations and arrival predictions for all its modes, including bus, subway, light rail and commuter rail. "
MOUD TOD NMT Bikeshare Guidelines,"Country-wide, India","Ministry of Urban Development, Government of India","Active Transportation
Land Use Planning
Mobility+
Planning &amp; Urban Design
Policy &amp; Design Guidelines
Transit Planning",Completed: 2016,"Ashish Ghate: Director | Sr. Practice Lead, Urban Design / Planning","The Ministry of Urban Development (MoUD) and the Government of India, supported by the Global Environment Facility, World Bank, and UNDP, retained IBI Group to develop national-level guidance documents for Transit Oriented Development (TOD), Non-Motorized Transportation (NMT), and Public Bicycle Sharing (PBS) Schemes."
Transport for London’s Travel Demand Management Programme,"London, UK",Transport for London,"Active Transportation
Bridges, Roads &amp; Highways
Civic &amp; Government
Data Analytics
Operations Centre
Project / Programme Management
Rail
Research &amp; Development
Spatial Intelligence
Strategic Planning
Systems
Transit Facilities
Transit Planning
Transit Technology
Traveller Information",Status: Ongoing,"Graeme Scott: Director | UK Sector Lead, Intelligence
Duncan Elder: Director - UK Solutions Lead, Intelligence","IBI Group has worked with Transport for London (TfL) since 2012, first establishing a Travel Demand Management (TDM) programme, and transitioning to work with the TfL team to deliver solutions and interventions to the business and partners in response to travel demand on the public transport and road networks in London and beyond."
Franklin High School Modernization,"Portland, OR",Portland Public Schools,"Education
Implementation/Construction Phase Services
K-12 Education
Learning+","Size: 140,000 sq ft
Storeys: 2
Completion: 2017","Rachel DeWitt: Associate Director, Sub-Sector Lead
Jonathan Steel: Associate Director | Office Lead, Portland","IBI Group designed the master plan for the modernization of Franklin High School, integrating next generation learning environments with state-of-the-art career and technical education facilities."
Jim and Pam Wells Elementary School,"Cypress, TX",Cypress-Fairbanks ISD,"BIM / 3D Visualization
Education
Interiors
Learning+
Master Planning
Project / Programme Management",Completed: 2017,"Mark French: Director | US Deputy Education Lead, Buildings","This highly flexible learning environment features a contemporary design, and is part of a larger educational village featuring secondary, middle, and elementary schools co-operating in close proximity with a number of shared resources. "
Cardiff University Brain Research Imaging Centre,"Cardiff, UK",Cardiff University,"Architecture
BIM / 3D Visualization
Education
Green
Healthcare+
Higher Education
Interiors
Learning+
Oncology","BREEAM®: Excellent
Completion: 2015",Richard Golledge: Studio Director,"Opened in the Spring of 2016, The Cardiff University Brain Research Imaging Centre (CUBRIC) is the second phase of the Science & Innovation Campus at Maindy Road: a new home for world-class research, bringing together experts in brain mapping and neuroscience inside a highly collaborative, energy-efficient environment. The project follows the completion of Phase 1; the IBI Group designed flagship Hadyn Ellis Building."
Hockinson Middle School,"Brush Prairie, WA",Hockinson School District,"Architecture
Education
Implementation/Construction Phase Services
K-12 Education
Learning+
New Projects","Completed: 2018
Area: 78,000 sq ft",,"IBI Group designed this new middle school which breaks the old model of hierarchical, teacher-centered classrooms, and instead creates flexible spaces for the next generation."
Women’s College Hospital,"Toronto, ON","Walsh Canada, Bondfield Construction Company Limited (JV)","Ambulatory Care
Architecture
BIM / 3D Visualization
Healthcare
Healthcare+
Interiors
P3
Research &amp; Development","LEED: Gold
Size: 420,000 sq ft
Storeys: 10
Completed: 2016","David Wood: Associate Director | Practice Lead, Architecture","Lauded as the hospital designed to keep people out of the hospital, Women's College Hospital is an ambulatory, care facility that maximizes future flexibility and prioritizes women-focused services. "
Tameside Advanced Learning Centre and Advanced Technologies Centre,"Tameside, UK",Tameside College,"Architecture
BIM / 3D Visualization
Education
Learning+
Specialized Learning","ALC Size: 5,000 sq m
ATC Size: 3,500 sq m
Completed: 2016",Sue Chadwick: Studio Director,"IBI Group provided architectural services for the design of the Advanced Learning Centre and Advanced Technologies Centre at Tameside College. The new development represents the future of education, providing state-of-the-art facilities to equip students for the challenges of a changing economy requiring a highly skilled workforce. "
Woodland View,"Ayrshire, UK",Ayrshire and Arran NHS Health Board/ Balfour Beatty Investments,"Ambulatory Care
Architecture
BIM / 3D Visualization
Energy
Environmental Assessment
Green
Healthcare
Healthcare+
Interiors
Landscape Architecture
Master Planning
Mental Health Care
Planning &amp; Urban Design
Project / Programme Management
Solar
Spiritual Places
Wayfinding &amp; Signage","BREEAM: 'Very good'
Size: 16,100 m2
Completion: 2016",Emma White: Studio Principal,"IBI Group provided Architectural, Interior Design and Landscape Architectural services for Woodland View, an Acute Mental Health and Community Facility. The 206-bed facility is focused on delivering inpatient and outpatient mental health services for adults and older people, including rehabilitation, continuing care, addictions, forensics, and intensive psychiatric care."
St. Paul’s Hospital at Station Street Master Plan & Rezoning,"Vancouver, BC",Providence Health Care,"Approvals
Land Use Planning
Master Planning
Planning &amp; Urban Design
Policy &amp; Design Guidelines
Public Outreach
Rezoning and Approvals",Completion: Ongoing,"Stuart Jones: Director, Landscape Architect
David Thom: President
Tony Gill: Global Director, P3 Buildings","With a proven track record of revitalizing brownfield sites, IBI's rezoning and master plan for the new St. Paul's Hospital at Station Street integrates a state-of-the-art hospital and research facility with hospitality and commercial uses, and makes room for future expansion."
Holt Renfrew,"Various Cities, ON, AB, BC",Holt Renfrew & Co. Ltd.,"Architecture
Interiors
Project / Programme Management
Retail",Status: Ongoing,"Anita Leonoff: Director | Office Lead, Vancouver
Drummond Hassan: Director | Sr. Practice Lead, Architecture","IBI Group led renovations and new build for multiple key locations across Canada, including flagship stores in Calgary, Vancouver and Mississauga, and the ongoing renovations to ensure each store remains at the leading edge of retail design.  "
"Boston Landing, New Balance World Headquarters","Boston, MA",Elkus Manfredi Architects,"Green
Hospitality
Hotels &amp; Resorts
Landscape Architecture
Mixed Use
Office
Parking
Placemaking",Status: Ongoing,"Chris Jones: Associate Director | Office Lead, Boston","Situated in a new, 14-acre, mixed-use neighborhood, and offering Class A office space, residential developments and high performance sporting facilities, New Balance's new urban campus will be headquartered in the heart of Boston's newest and most exciting community hub, Boston Landing.  "
Miller Thomson LLP,"Toronto, ON",Miller Thomson LLP,"Interiors
Office
Strategic Planning",,,"Miller Thomson enlisted IBI Group's corporate interiors team to redesign their partial conference floor, and refresh five existing practice floors. Inspired by the client's need to re-energize their existing conference floor, incorporate new technology and attract new talent, IBI worked with Miller Thomson to bring a fresh and modern aesthetic that would better represent their corporate culture and new brand image."
